onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.012	3.982	7.088	2.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	6.076	grit	Q06	s638	False
12.327	3.982	17.746	1.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	5.419	grit	Q01	s638	False
21.946	3.982	25.392	1.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	3.446	brief	Q13	s638	False
31.153	3.982	35.078	3.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	3.925	brief	Q09	s638	False
40.704	3.982	45.493	2.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	4.789	brief	Q21	s638	False
50.185	3.982	52.415	5.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	2.23	grit	Q04	s638	False
59.393	3.982	65.004	3.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	5.611	future_time	Q28	s638	False
69.488	3.982	73.822	2.0	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	4.334	future_time	Q29	s638	False
80.398	3.982	85.531	2.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	5.133	brief	Q10	s638	False
90.288	3.982	94.786	2.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	4.498	impulsive_venture	Q39	s638	False
99.429	3.982	103.821	2.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	4.392	grit	Q07	s638	False
109.794	3.982	113.985	2.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	4.191	grit	Q02	s638	False
119.478	3.982	124.381	3.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	4.903	brief	Q16	s638	False
129.64	3.982	138.56	3.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	8.92	upps	Q36	s638	False
138.847	3.982	144.986	2.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	6.139	brief	Q19	s638	False
150.028	3.982	153.7	2.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.672	brief	Q20	s638	False
159.307	3.982	163.747	1.0	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	4.44	future_time	Q31	s638	False
168.923	3.982	175.227	4.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	6.304	upps	Q33	s638	False
