onset	duration	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.007	6.332	6.332	9.339	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	6.332	to_hand	poldrack-single-stim	s549	False
9.34	0.1	1.377	10.717	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.377	to_board	poldrack-single-stim	s549	False
10.72	0.1	0.773	11.493	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	0.773	to_hand	poldrack-single-stim	s549	False
11.494	0.1	0.726	12.22	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.726	to_board	poldrack-single-stim	s549	False
12.221	0.1	1.336	13.557	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.336	to_hand	poldrack-single-stim	s549	False
13.559	0.1	0.798	14.357	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.798	to_board	poldrack-single-stim	s549	False
14.36	1.0	2.5	14.359	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s549	False
16.862	2.663	2.663	19.525	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	2.663	to_hand	poldrack-single-stim	s549	False
19.526	0.1	0.743	20.269	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.743	to_board	poldrack-single-stim	s549	False
20.271	0.1	0.653	20.924	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.653	to_hand	poldrack-single-stim	s549	False
20.924	0.1	0.601	21.525	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.601	to_board	poldrack-single-stim	s549	False
21.527	0.1	1.141	22.668	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	1.141	to_hand	poldrack-single-stim	s549	False
22.669	0.1	1.007	23.676	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	1.007	to_board	poldrack-single-stim	s549	False
23.679	1.0	2.1	23.678	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s549	False
25.781	4.492	4.492	30.273	1	UA_without_intermediate	practice	ward_and_allport	71	2.0	4.492	to_hand	poldrack-single-stim	s549	False
30.273	0.1	1.342	31.615	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.342	to_board	poldrack-single-stim	s549	False
31.616	0.1	1.047	32.663	0	UA_without_intermediate	practice	ward_and_allport	82	2.0	1.047	to_hand	poldrack-single-stim	s549	False
32.663	0.1	0.859	33.522	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.859	to_board	poldrack-single-stim	s549	False
33.526	0.1	1.221	34.747	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	1.221	to_hand	poldrack-single-stim	s549	False
