onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.007	3.982	10.017	4.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	9.01	grit	Q06	s650	False
12.322	3.982	16.89	2.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	4.568	grit	Q01	s650	False
21.937	3.982	26.506	3.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	4.569	brief	Q13	s650	False
31.143	3.982	36.665	3.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	5.522	brief	Q09	s650	False
40.69	3.982	47.597	4.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	6.907	brief	Q21	s650	False
50.169	3.982	52.413	5.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	2.244	grit	Q04	s650	False
59.375	3.982	66.846	3.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	7.471	future_time	Q28	s650	False
69.465	3.982	74.129	2.0	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	4.664	future_time	Q29	s650	False
80.372	3.982	83.236	3.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	2.864	brief	Q10	s650	False
90.259	3.982	96.567	1.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	6.308	impulsive_venture	Q39	s650	False
99.397	3.982	105.286	5.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	5.889	grit	Q07	s650	False
109.76	3.982	114.782	2.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	5.022	grit	Q02	s650	False
119.442	3.982	126.641	2.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	7.199	brief	Q16	s650	False
129.6	3.982	136.18	4.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	6.58	upps	Q36	s650	False
138.806	3.982	149.714	3.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	10.908	brief	Q19	s650	False
149.985	3.982	154.496	3.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	4.511	brief	Q20	s650	False
159.26	3.982	168.549	3.0	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	9.289	future_time	Q31	s650	False
168.874	3.982	174.671	4.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	5.797	upps	Q33	s650	False
177.945	3.982	182.986	2.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	5.041	brief	Q17	s650	False
186.948	3.982	189.341	5.0	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	2.393	grit	Q08	s650	False
201.254	3.982	205.52	4.0	survey_medley	forward	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	4.266	upps	Q37	s650	False
210.325	3.982	213.585	3.0	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	3.26	brief	Q12	s650	False
220.619	3.982	225.254	5.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	4.635	future_time	Q24	s650	False
232.41	3.982	232.409	0.0	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	n/a	brief	Q18	s650	True
241.616	3.982	244.786	0.0	survey_medley	forward	66,89	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89,71,82,77	3.17	impulsive_venture	Q38	s650	True
