onset	duration	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.007	6.456	6.456	9.463	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	6.456	to_hand	poldrack-single-stim	s251	False
9.465	0.1	1.362	10.827	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.362	to_board	poldrack-single-stim	s251	False
10.829	0.1	1.251	12.08	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.251	to_hand	poldrack-single-stim	s251	False
12.082	0.1	0.573	12.655	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.573	to_board	poldrack-single-stim	s251	False
12.656	0.1	1.054	13.71	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.054	to_hand	poldrack-single-stim	s251	False
13.711	0.1	0.805	14.516	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.805	to_board	poldrack-single-stim	s251	False
14.519	1.0	2.5	14.518	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s251	False
17.02	3.946	3.946	20.966	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	3.946	to_hand	poldrack-single-stim	s251	False
20.967	0.1	0.871	21.838	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.871	to_board	poldrack-single-stim	s251	False
21.841	0.1	0.782	22.623	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.782	to_hand	poldrack-single-stim	s251	False
22.624	0.1	0.479	23.103	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.479	to_board	poldrack-single-stim	s251	False
23.103	0.1	0.622	23.725	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.622	to_hand	poldrack-single-stim	s251	False
23.726	0.1	0.537	24.263	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.537	to_board	poldrack-single-stim	s251	False
24.266	1.0	2.1	24.265	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s251	False
26.367	3.351	3.351	29.718	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	3.351	to_hand	poldrack-single-stim	s251	False
29.719	0.1	0.707	30.426	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.707	to_board	poldrack-single-stim	s251	False
30.429	0.1	0.751	31.18	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.751	to_hand	poldrack-single-stim	s251	False
31.182	0.1	0.443	31.625	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.443	to_board	poldrack-single-stim	s251	False
31.627	0.1	0.905	32.532	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.905	to_hand	poldrack-single-stim	s251	False
32.532	0.1	0.338	32.87	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.338	to_board	poldrack-single-stim	s251	False
32.873	1.0	2.2	32.872	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s251	False
35.075	3.701	3.701	38.776	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	3.701	to_hand	poldrack-single-stim	s251	False
38.777	0.1	0.506	39.283	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.506	to_board	poldrack-single-stim	s251	False
39.284	0.1	1.241	40.525	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.241	to_hand	poldrack-single-stim	s251	False
40.526	0.1	0.826	41.352	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.826	to_board	poldrack-single-stim	s251	False
41.354	0.1	0.78	42.134	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.78	to_hand	poldrack-single-stim	s251	False
42.135	0.1	0.441	42.576	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.441	to_board	poldrack-single-stim	s251	False
42.58	1.0	2.0	42.579	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s251	False
46.584	3.914	3.914	50.498	1	PA_with_intermediate	test	ward_and_allport	82	0.0	3.914	to_hand	poldrack-single-stim	s251	False
50.499	0.1	0.541	51.04	0	PA_with_intermediate	test	ward_and_allport	89	0.0	0.541	to_board	poldrack-single-stim	s251	False
51.042	0.1	3.961	55.003	0	PA_with_intermediate	test	ward_and_allport	82	0.0	3.961	to_hand	poldrack-single-stim	s251	False
55.003	0.1	0.577	55.58	0	PA_with_intermediate	test	ward_and_allport	71	0.0	0.577	to_board	poldrack-single-stim	s251	False
55.582	0.1	0.801	56.383	0	PA_with_intermediate	test	ward_and_allport	82	0.0	0.801	to_hand	poldrack-single-stim	s251	False
56.385	0.1	4.357	60.742	0	PA_with_intermediate	test	ward_and_allport	82	0.0	4.357	to_board	poldrack-single-stim	s251	False
60.744	0.1	1.314	62.058	0	PA_with_intermediate	test	ward_and_allport	89	0.0	1.314	to_hand	poldrack-single-stim	s251	False
62.059	0.1	0.939	62.998	0	PA_with_intermediate	test	ward_and_allport	82	0.0	0.939	to_board	poldrack-single-stim	s251	False
63.001	1.0	2.408	63.0	0	PA_with_intermediate	test	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s251	False
65.411	3.257	3.257	68.668	1	PA_without_intermediate	test	ward_and_allport	71	1.0	3.257	to_hand	poldrack-single-stim	s251	False
68.669	0.1	0.499	69.168	0	PA_without_intermediate	test	ward_and_allport	89	1.0	0.499	to_board	poldrack-single-stim	s251	False
69.171	0.1	0.809	69.98	0	PA_without_intermediate	test	ward_and_allport	71	1.0	0.809	to_hand	poldrack-single-stim	s251	False
69.982	0.1	0.751	70.733	0	PA_without_intermediate	test	ward_and_allport	89	1.0	0.751	to_board	poldrack-single-stim	s251	False
70.735	0.1	1.204	71.939	0	PA_without_intermediate	test	ward_and_allport	71	1.0	1.204	to_hand	poldrack-single-stim	s251	False
71.94	0.1	0.419	72.359	0	PA_without_intermediate	test	ward_and_allport	82	1.0	0.419	to_board	poldrack-single-stim	s251	False
72.361	1.0	2.68	72.36	0	PA_without_intermediate	test	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s251	False
75.044	3.596	3.596	78.64	1	PA_with_intermediate	test	ward_and_allport	71	2.0	3.596	to_hand	poldrack-single-stim	s251	False
78.641	0.1	0.592	79.233	0	PA_with_intermediate	test	ward_and_allport	82	2.0	0.592	to_board	poldrack-single-stim	s251	False
79.235	0.1	0.596	79.831	0	PA_with_intermediate	test	ward_and_allport	71	2.0	0.596	to_hand	poldrack-single-stim	s251	False
79.832	0.1	0.546	80.378	0	PA_with_intermediate	test	ward_and_allport	89	2.0	0.546	to_board	poldrack-single-stim	s251	False
80.381	0.1	1.961	82.342	0	PA_with_intermediate	test	ward_and_allport	82	2.0	1.961	to_hand	poldrack-single-stim	s251	False
82.343	0.1	0.928	83.271	0	PA_with_intermediate	test	ward_and_allport	89	2.0	0.928	to_board	poldrack-single-stim	s251	False
83.275	1.0	4.72	83.274	0	PA_with_intermediate	test	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s251	False
87.997	3.023	3.023	91.02	1	PA_without_intermediate	test	ward_and_allport	82	3.0	3.023	to_hand	poldrack-single-stim	s251	False
91.022	0.1	0.555	91.577	0	PA_without_intermediate	test	ward_and_allport	71	3.0	0.555	to_board	poldrack-single-stim	s251	False
91.58	0.1	1.289	92.869	0	PA_without_intermediate	test	ward_and_allport	82	3.0	1.289	to_hand	poldrack-single-stim	s251	False
92.87	0.1	0.618	93.488	0	PA_without_intermediate	test	ward_and_allport	89	3.0	0.618	to_board	poldrack-single-stim	s251	False
93.49	0.1	0.934	94.424	0	PA_without_intermediate	test	ward_and_allport	82	3.0	0.934	to_hand	poldrack-single-stim	s251	False
94.425	0.1	0.707	95.132	0	PA_without_intermediate	test	ward_and_allport	71	3.0	0.707	to_board	poldrack-single-stim	s251	False
95.136	1.0	3.224	95.135	0	PA_without_intermediate	test	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s251	False
