onset	duration	block_duration	movement_onset	planning	condition	exp_stage	experiment_exp_id	key_press	problem_id	response_time	trial_id	trial_type	worker_id	junk
3.014	5.424	5.424	8.438	1	UA_with_intermediate	practice	ward_and_allport	71	0.0	5.424	to_hand	poldrack-single-stim	s585	False
8.44	0.1	1.047	9.487	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.047	to_board	poldrack-single-stim	s585	False
9.489	0.1	1.088	10.577	0	UA_with_intermediate	practice	ward_and_allport	71	0.0	1.088	to_hand	poldrack-single-stim	s585	False
10.577	0.1	0.744	11.321	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.744	to_board	poldrack-single-stim	s585	False
11.324	0.1	1.334	12.658	0	UA_with_intermediate	practice	ward_and_allport	82	0.0	1.334	to_hand	poldrack-single-stim	s585	False
12.659	0.1	0.574	13.233	0	UA_with_intermediate	practice	ward_and_allport	89	0.0	0.574	to_board	poldrack-single-stim	s585	False
13.238	1.0	2.5	13.237	0	UA_with_intermediate	practice	ward_and_allport	-1	0.0	n/a	feedback	poldrack-single-stim	s585	False
15.741	2.231	2.231	17.972	1	UA_with_intermediate	practice	ward_and_allport	89	1.0	2.231	to_hand	poldrack-single-stim	s585	False
17.974	0.1	0.531	18.505	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.531	to_board	poldrack-single-stim	s585	False
18.508	0.1	0.781	19.289	0	UA_with_intermediate	practice	ward_and_allport	71	1.0	0.781	to_hand	poldrack-single-stim	s585	False
19.291	0.1	0.437	19.728	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.437	to_board	poldrack-single-stim	s585	False
19.73	0.1	0.807	20.537	0	UA_with_intermediate	practice	ward_and_allport	82	1.0	0.807	to_hand	poldrack-single-stim	s585	False
20.538	0.1	0.432	20.97	0	UA_with_intermediate	practice	ward_and_allport	89	1.0	0.432	to_board	poldrack-single-stim	s585	False
20.973	1.0	2.1	20.972	0	UA_with_intermediate	practice	ward_and_allport	-1	1.0	n/a	feedback	poldrack-single-stim	s585	False
23.075	2.47	2.47	25.545	1	UA_without_intermediate	practice	ward_and_allport	82	2.0	2.47	to_hand	poldrack-single-stim	s585	False
25.547	0.1	0.45	25.997	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.45	to_board	poldrack-single-stim	s585	False
26.0	0.1	2.058	28.058	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	2.058	to_hand	poldrack-single-stim	s585	False
28.06	0.1	0.695	28.755	0	UA_without_intermediate	practice	ward_and_allport	82	2.0	0.695	to_board	poldrack-single-stim	s585	False
28.758	0.1	1.456	30.214	0	UA_without_intermediate	practice	ward_and_allport	82	2.0	1.456	to_hand	poldrack-single-stim	s585	False
30.215	0.1	0.466	30.681	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.466	to_board	poldrack-single-stim	s585	False
30.683	0.1	0.476	31.159	0	UA_without_intermediate	practice	ward_and_allport	71	2.0	0.476	to_hand	poldrack-single-stim	s585	False
31.16	0.1	0.488	31.648	0	UA_without_intermediate	practice	ward_and_allport	89	2.0	0.488	to_board	poldrack-single-stim	s585	False
31.651	1.0	2.2	31.65	0	UA_without_intermediate	practice	ward_and_allport	-1	2.0	n/a	feedback	poldrack-single-stim	s585	False
33.853	2.575	2.575	36.428	1	UA_without_intermediate	practice	ward_and_allport	71	3.0	2.575	to_hand	poldrack-single-stim	s585	False
36.43	0.1	0.35	36.78	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.35	to_board	poldrack-single-stim	s585	False
36.783	0.1	1.434	38.217	0	UA_without_intermediate	practice	ward_and_allport	82	3.0	1.434	to_hand	poldrack-single-stim	s585	False
38.218	0.1	0.428	38.646	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.428	to_board	poldrack-single-stim	s585	False
38.647	0.1	0.599	39.246	0	UA_without_intermediate	practice	ward_and_allport	71	3.0	0.599	to_hand	poldrack-single-stim	s585	False
39.247	0.1	0.347	39.594	0	UA_without_intermediate	practice	ward_and_allport	89	3.0	0.347	to_board	poldrack-single-stim	s585	False
39.6	1.0	2.0	39.599	0	UA_without_intermediate	practice	ward_and_allport	-1	3.0	n/a	feedback	poldrack-single-stim	s585	False
