onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_responses	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
1.011	3.982	7.169	2.0	survey_medley	reverse	66,89,71,82,77	I have difficulty maintaining my focus on projects that take more than a few months to complete.	66,89,71,82,77	6.158	grit	Q06	s541	False
12.327	3.982	16.185	1.0	survey_medley	reverse	66,89,71,82,77	New ideas and projects sometimes distract me from previous ones.	66,89,71,82,77	3.858	grit	Q01	s541	False
21.94	3.982	27.586	3.0	survey_medley	reverse	66,89,71,82,77	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	5.646	brief	Q13	s541	False
31.147	3.982	35.76	2.0	survey_medley	forward	66,89,71,82,77	I am good at resisting temptation.	66,89,71,82,77	4.613	brief	Q09	s541	False
40.693	3.982	44.603	2.0	survey_medley	reverse	66,89,71,82,77	I often act without thinking through all the alternatives.	66,89,71,82,77	3.91	brief	Q21	s541	False
50.176	3.982	52.679	3.0	survey_medley	forward	66,89,71,82,77	I am a hard worker.	66,89,71,82,77	2.503	grit	Q04	s541	False
59.383	3.982	65.714	3.0	survey_medley	forward	66,89,71,82,77	There is plenty of time left in my life to make new plans.	66,89,71,82,77	6.331	future_time	Q28	s541	False
69.474	3.982	74.851	2.0	survey_medley	reverse	66,89,71,82,77	I have the sense that time is running out.	66,89,71,82,77	5.377	future_time	Q29	s541	False
80.382	3.982	83.958	1.0	survey_medley	reverse	66,89,71,82,77	I have a hard time breaking bad habits.	66,89,71,82,77	3.576	brief	Q10	s541	False
90.272	3.982	94.672	1.0	survey_medley	forward	66,89	Do you sometimes like doing things that are a bit frightening?	66,89,71,82,77	4.4	impulsive_venture	Q39	s541	False
99.411	3.982	104.291	3.0	survey_medley	forward	66,89,71,82,77	I finish whatever I begin.	66,89,71,82,77	4.88	grit	Q07	s541	False
109.777	3.982	117.989	3.0	survey_medley	forward	66,89,71,82,77	Setbacks don't discourage me.	66,89,71,82,77	8.212	grit	Q02	s541	False
119.461	3.982	124.616	2.0	survey_medley	forward	66,89,71,82,77	People would say that I have iron self-discipline.	66,89,71,82,77	5.155	brief	Q16	s541	False
129.624	3.982	138.407	3.0	survey_medley	forward	66,89,71,82	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82,77	8.783	upps	Q36	s541	False
138.831	3.982	143.258	3.0	survey_medley	forward	66,89,71,82,77	I am able to work effectively toward long-term goals.	66,89,71,82,77	4.427	brief	Q19	s541	False
150.009	3.982	156.711	4.0	survey_medley	reverse	66,89,71,82,77	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	6.702	brief	Q20	s541	False
159.286	3.982	165.116	4.0	survey_medley	reverse	66,89,71,82,77	As I get older, I begin to experience time as limited.	66,89,71,82,77	5.83	future_time	Q31	s541	False
168.902	3.982	175.416	2.0	survey_medley	forward	66,89,71,82	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82,77	6.514	upps	Q33	s541	False
177.973	3.982	181.475	1.0	survey_medley	reverse	66,89,71,82,77	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	3.502	brief	Q17	s541	False
186.976	3.982	190.354	3.0	survey_medley	forward	66,89,71,82,77	I am diligent.	66,89,71,82,77	3.378	grit	Q08	s541	False
201.282	3.982	205.934	2.0	survey_medley	forward	66,89,71,82	I tend to act without thinking when I am really excited.	66,89,71,82,77	4.652	upps	Q37	s541	False
210.354	3.982	214.537	4.0	survey_medley	reverse	66,89,71,82,77	I say inappropriate things.	66,89,71,82,77	4.183	brief	Q12	s541	False
220.648	3.982	224.894	2.0	survey_medley	forward	66,89,71,82,77	My future is filled with possibilities.	66,89,71,82,77	4.246	future_time	Q24	s541	False
232.438	3.982	235.64	2.0	survey_medley	reverse	66,89,71,82,77	I have trouble concentrating.	66,89,71,82,77	3.202	brief	Q18	s541	False
241.646	3.982	250.689	0.0	survey_medley	forward	66,89	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89,71,82,77	9.043	impulsive_venture	Q38	s541	True
251.125	3.982	255.474	4.0	survey_medley	forward	66,89,71,82,77	I expect that I will set many new goals in the future.	66,89,71,82,77	4.349	future_time	Q23	s541	False
261.083	3.982	268.331	4.0	survey_medley	reverse	66,89,71,82,77	There are only limited possibilities in my future.	66,89,71,82,77	7.248	future_time	Q30	s541	False
272.946	3.982	280.179	3.0	survey_medley	reverse	66,89,71,82,77	I have been obsessed with a certain idea or project for a short time but later lost interest.	66,89,71,82,77	7.233	grit	Q03	s541	False
282.154	3.982	287.175	3.0	survey_medley	forward	66,89,71,82,77	I could do anything I want in the future.	66,89,71,82,77	5.021	future_time	Q27	s541	False
293.676	3.982	302.254	2.0	survey_medley	forward	66,89,71,82	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82,77	8.578	upps	Q35	s541	False
302.679	3.982	305.794	4.0	survey_medley	forward	66,89,71,82,77	Most of my life lies ahead of me.	66,89,71,82,77	3.115	future_time	Q25	s541	False
311.819	3.982	315.185	2.0	survey_medley	reverse	66,89,71,82,77	I am lazy.	66,89,71,82,77	3.366	brief	Q11	s541	False
321.435	3.982	325.886	3.0	survey_medley	forward	66,89,71,82,77	I refuse things that are bad for me.	66,89,71,82,77	4.451	brief	Q14	s541	False
331.051	3.982	334.88	3.0	survey_medley	forward	66,89,71,82,77	Many opportunities await me in the future.	66,89,71,82,77	3.829	future_time	Q22	s541	False
341.35	3.982	345.765	2.0	survey_medley	reverse	66,89,71,82,77	I often set a goal but later choose to pursue a different one.	66,89,71,82,77	4.415	grit	Q05	s541	False
351.441	3.982	356.631	2.0	survey_medley	forward	66,89,71,82	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82,77	5.19	upps	Q34	s541	False
360.514	3.982	362.855	3.0	survey_medley	forward	66,89,71,82,77	My future seems infinite to me.	66,89,71,82,77	2.341	future_time	Q26	s541	False
370.675	3.982	370.674	0.0	survey_medley	forward	66,89,71,82	Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.	66,89,71,82,77	n/a	upps	Q32	s541	True
380.564	3.982	380.852	3.0	survey_medley	reverse	66,89,71,82,77	I wish I had more self-discipline.	66,89,71,82,77	0.288	brief	Q15	s541	False
390.247	3.982	394.356	2.0	survey_medley	forward	66,89	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89,71,82,77	4.109	impulsive_venture	Q40	s541	False
